目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
Ⅰ．主要統計長期指標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人口,,,,,,,,,,,,,住宅,,事業所,,製造業,,,社会福祉,,,,,衛生,,,,,教育文化,,,,,,,,,,家計・物価,,,交通・運輸,,,警察・消防,,,財務,,,
年次,土地面積,世帯数,人口,人口密度,社会動態,,,自然動態,,,昼間人口,夜間人口,流入人口,流出人口,着工住宅数,住宅数,事業所数,従業者数,事業所数,従業者数,製造品,保育園,,生活保護,,,医療,,,ごみ,,幼稚園,,小学校,,中学校,,高等学校,,公園,,勤労者世帯家計,,消費者物価指数,道路,,中野駅,刑法犯,交通事故,火災,歳入,歳出,うち一般会計,
,,,,1k㎡当たり,転入,転出,社会増減,出生,死亡,自然増減,,,,,,,,,,,出荷額等,保育園数,園児数,被保護世帯数,実人員,保護費,医療機関等施設数,病院数,医師数,収集量,うち持込,学園数,園児数,学校数,児童数,学校数,生徒数,学校数,生徒数,公園数,面積,実収入,実支出,東京都区部,延長,面積,乗車人員,発生件数,発生件数,発生件数,,,歳入,歳出
,（10月1日）,（10月1日）,（10月1日）,（10月1日）,（年次）,（年次）,（年次）,（年次）,（年次）,（年次）,（10月1日）,（10月1日）,（10月1日）,（10月1日）,（12月31日）,（10月1日）,（調査期日）,（調査期日）,（調査期日）,（調査期日）,（調査期日）,（3月1日）,（3月1日）,（年度月平均）,（年度月平均）,（年度）,（年度末）,（年度末）,（12月31日）,（年度）,（年度）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（5月1日）,（4月1日）,（4月1日）,（1ヵ月平均）,（1ヵ月平均）,（年平均）,（4月1日）,（4月1日）,（年度1日平均）,（年末）,（年末）,（年末）,（年度）,（年度）,（年度）,（年度）
,ｋ㎡,世帯,人,人,人,人,人,人,人,人,人,人,人,人,件,件,,人,,人,百万円,園,人,世帯,人,千円,棟,棟,人,t,t,園,人,校,人,校,人,校,人,園,百㎡,円,円,,ｍ,㎡,人,件,件,件,千円,千円,千円,千円
平成18年,15.59,171848,298687,19158.883899935856,27142,26281,861,2041,2303,-262,…,…,…,…,4815,…,13601,117494,120,1335,20259,37,3074,4325,5453,10970004,1236,11,614,77149,…,26,3281,30,9791,19,5147,12,9305,157,3172,585818,468862,97.3,361448,2021147,115176,5465,1291,138,163503304,158809519,95866589,91904065
19,15.59,173931,299433,19206.735086594,27489,26065,1424,2120,2396,-276,…,…,…,…,3106,…,…,…,…,…,…,37,3100,4424,5514,10869155,1270,11,…,72951,…,26,3230,28,9650,18,5346,13,9096,157,3604,574514,528003,97.4,361343,2010642,123022,5378,1198,124,179409900,175816815,109696141,106509127
20,15.59,176011,300622,19283.0019243105,26138,25127,1011,2187,2396,-209,…,…,…,…,4982,191320,…,…,278,1683,23822,37,3084,4554,5502,11235931,1310,11,652,83367,15039,26,3167,28,9603,18,5439,13,9270,156,3554,581293,462525,98.4,363671,2096696,124645,5042,983,105,159446426,150952094,104178271,96277371
21,15.59,176571,300293,19262,25834,26264,△430,2330,2307,23,…,…,…,…,2327,…,14367,125683,111,1265,16290,36,3031,4930,5778,12053769,1317,11,…,80962,15862,25,3202,27,9490,18,5565,13,9520,156,3554,598723,486036,97.2,363647,2098897,124147,4759,875,129,176047167,174192571,106950259,105302603
22,15.59,176644,299398,19204.4900577293,26015,26526,-511,2310,2616,-306,289176,314750,70244,96291,4207,…,…,…,105,1271,17050,36,3101,5429,6318,13276519,1354,10,684,78421,14246,25,3002,28,9629,18,5569,12,9595,157,3571,615748,493268,96.2,364282,2103254,123968,4605,821,109,158100664,155994214,99858832,98146677
23,15.59,177390,299185,19191,26576,25354,1222,2230,2613,-383,…,…,…,…,3477,…,…,…,294,1798,27599,37,3281,5787,6739,14189889,1398,10,…,77618,13735,26,3150,27,9460,18,5770,12,9683,160,3746,565071,463261,95.7,364875,2108594,122846,4562,816,119,170976302,168097924,109128976,106773132
24,15.59,186028,311037,19951,27472,25065,2407,2288,2660,-372,…,…,…,…,4152,…,…,…,102,1131,14383,38,3381,6175,7179,15059006,1362,10,659,77454,14536,26,3281,27,9370,17,5763,12,9675,170,4066,575440,472720,95.3,366870,2137972,125025,4072,673,111,178502512,175789123,114464987,112433750
25,15.59,188261,314053,20145,29929,27344,2585,2446,2623,-177,…,…,…,…,4151,210420,…,…,85,1002,12235,38,3466,6420,7450,15393941,1457,10,…,77080,14708,26,3402,27,9393,17,5840,12,9664,177,4075,578628,500147,95.3,367111,2141579,138467,3613,620,106,182792927,179317535,116844029,113952058
26,15.59,190882,316647,20311,29269,26918,2351,2551,2680,-129,…,…,…,…,3796,…,12917,128078,78,911,12244,39,3627,6566,7571,15847304,1492,9,…,75357,14934,25,3389,27,9424,17,5712,12,9944,177,4069,585636,476753,97.5,367574,2145859,140587,3416,587,104,199718909,194077120,125965944,121018392
27,15.59,194457,321153,20600,32710,28874,3836,2734,2768,-34,313270,328215,85389,100334,4146,…,…,…,…,…,…,40,3790,6620,7572,15844978,1493,9,…,75324,15241,23,3332,27,9623,17,5643,12,10102,182,4406,574733,478111,98.2,367641,2149146,144916,3463,525,103,206862254,202905431,134490994,131323616
28,15.59,198311,325370,20876,30620,28696,1924,2764,2643,121,…,…,…,…,5277,…,…,…,…,…,…,41,3958,6629,7560,15866532,1467,8,654,74018,15365,22,3290,27,9879,17,5625,12,10263,198,4515,605530,480733,98.1,367825,2151745,146400,2947,492,91,197285568,193073735,128388995,124869499
29,15.59,201466,328315,21059,30817,29742,1075,2699,2744,-45,…,…,…,…,4373,…,…,…,59,731,10351,50,4399,6700,7599,16096546,1503,8,…,73807,15940,22,3237,25,10038,17,5641,12,10142,199,4532,580063,482914,98.2,368256,2155187,148789,2690,530,109,195597904,191686912,124247940,121092577
30,15.59,204180,331007,21232,31511,29873,1638,2591,2757,△166,…,…,…,…,3993,201160,…,…,63,811,12896,55,4728,6740,7618,15825179,1555,8,653,72727,15531,22,3216,25,10282,16,5741,12,9921,198,4587,632404,483473,99.1,368539,2157015,150886,2560,533,86,205815812,200349690,140935133,135956014
令和元年,15.59,207829,334923,21483.194355355998,33290,30129,3161,2462,2818,-356,…,…,…,…,4126,…,17010,…,59,799,13202,60,5060,6773,7627,15967654,1566,8,…,71449,15041,22,3141,24,10678,16,5817,12,9740,198,4660,673468,501987,99.9,368778,2164610,150907,2342,681,101,216057752,207195171,149913061,141617102
2,15.59,207950,335054,21492,31475,30765,710,2530,2833,-303,325767,344880,84510,105185,4487,…,…,…,58,762,11299,73,5529,6867,7673,15887993,1566,8,675,70639,12318,22,2982,23,10888,16,5983,12,9368,199,4766,701538,505201,100,368947,2168337,103284,2061,628,92,259682100,253055666,186308456,180615727
3,15.59,207174,333364,21383,30574,31572,-988,2481,2963,-482,…,…,…,…,3358,…,12088,129112,50,663,9845,83,6019,6885,7657,15678277,1589,8,…,69353,12697,22,2756,23,11238,15,6207,12,9176,200,4924,730386,537588,99.8,368989,2169266,108524,1848,576,63,225692687,218205534,159818016,153338351
4,15.59,209453,334224,21438,30079,30287,-208,2334,3092,-758,…,…,…,…,4445,…,…,…,…,…,…,87,6307,6891,7621,15927990,1626,8,…,68432,13188,22,2535,23,11424,15,6406,12,9026,200,4923,684038,489039,102.2,368969,2169697,119846,1884,592,106,234379002,226305138,169535998,162369659
5,15.59,212811,336878,21609,30947,29256,1691,2238,3031,-793,…,…,…,…,…,206190,…,…,…,…,…,92,6488,6881,7569,15944130,1617,8,707,66772,13008,21,2234,23,11693,15,6639,12,9094,198,4904,720584,516519,105.4,368989,2170757,126079,1987,682,72,279436451,273262453,204003243,198672926
資料,"全国都道府県
市区町村別面積調",戸籍住民課,,,,,,,,,国勢調査,,,,建築統計年報,住宅・土地統計調査,"経済センサス-基礎調査・活動調査
（事業所・企業統計調査）",,"経済センサス-活動調査
（工業統計調査）",,,保育園・幼稚園課,,生活援護課,,,生活衛生課,,"東京都保健医療局総務部統計課
｢年報（福祉・衛生行政統計）｣",ごみゼロ推進課,,学校基本調査,,,,,,,,特別区の統計,,都民のくらしむき,,東京の物価,特別区の統計,,ＪＲ東日本,警視庁の統計,警視庁,中野・野方消防署,各会計歳入歳出決算書,,,
,,注）　住民基本台帳法の一部改正に伴い，平成24年から外国人世帯・人口を含む。,,,,,,,,,,,,,注）　諸般の事情により令和５年度版以降、建築統計年報が廃刊になったため、一度掲載を保留。,,,,,,,,,,,,,,,,,,,,,,,,,,,注）　東京都平均,,注）　令和2年分＝100とする。,,,注）　ＪＲのみ,,,,注）　歳入，歳出ともに決算額,,,
,,注）　職権による記載と削除，国外転入，転出等は除く。,,,,,,,,,,,,,,,注）　平成18年以前の数値は事業所・企業統計調査（調査期日は平成16年が6月1日、平成18年が10月1日）の結果による。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,　　　令和元年の数値は、事業内容等不詳を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,注）　令和2年以前の数値は工業統計調査（調査期日は平成26年以前が12月31日、平成29年以降は6月1日）の結果による。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,　　　令和3年の数値は個人経営を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
